External_Id__c,Subject,Account:External_Id__c,Contact:External_Id__c,Type,Status,Origin,Priority,Reason
CASE-000305,Issue #305,ACC-000046,CON-000896,Billing,Closed,Web,Low,Equipment Complexity
CASE-000306,Issue #306,ACC-000355,CON-001222,Equipment,New,Email,Medium,Network Issue
CASE-000307,Issue #307,ACC-000220,CON-000277,Connectivity,Working,Web,Medium,Equipment Complexity
CASE-000308,Issue #308,ACC-000369,CON-001067,Billing,Closed,Phone,Low,Bug
CASE-000309,Issue #309,ACC-000131,CON-000231,Shipping,Working,Web,Low,Other
CASE-000310,Issue #310,ACC-000054,CON-000682,Equipment,Working,Web,High,Other
CASE-000311,Issue #311,ACC-000034,CON-000383,Installation,Closed,Web,Low,Shipment Damaged
CASE-000312,Issue #312,ACC-000184,CON-001249,Equipment,Working,Phone,Low,Bug
CASE-000313,Issue #313,ACC-000397,CON-001332,Equipment,Closed,Web,Medium,Bug
CASE-000314,Issue #314,ACC-000298,CON-001308,Software,Working,Web,Low,Return
CASE-000315,Issue #315,ACC-000275,CON-001166,Installation,New,Email,Low,Equipment Complexity
CASE-000316,Issue #316,ACC-000228,CON-001196,Electrical,New,Email,High,Equipment Complexity
CASE-000317,Issue #317,ACC-000114,CON-000051,Software,Working,Email,Low,Return
CASE-000318,Issue #318,ACC-000256,CON-001126,Electrical,Working,Web,High,Other
CASE-000319,Issue #319,ACC-000371,CON-000385,Installation,Closed,Phone,Low,Performance
CASE-000320,Issue #320,ACC-000183,CON-001010,Software,Closed,Email,Low,Network Issue
CASE-000321,Issue #321,ACC-000256,CON-000411,Electrical,Working,Email,Medium,Equipment Complexity
CASE-000322,Issue #322,ACC-000343,CON-000374,Billing,Working,Phone,Low,Equipment Complexity
CASE-000323,Issue #323,ACC-000482,CON-000974,Installation,New,Web,Medium,Performance
CASE-000324,Issue #324,ACC-000043,CON-000982,Connectivity,New,Phone,Medium,Performance
CASE-000325,Issue #325,ACC-000350,CON-000893,Equipment,Closed,Phone,Low,Network Issue
CASE-000326,Issue #326,ACC-000076,CON-000064,Shipping,New,Phone,High,Shipment Damaged
CASE-000327,Issue #327,ACC-000312,CON-000033,Shipping,Working,Email,Medium,Network Issue
CASE-000328,Issue #328,ACC-000334,CON-000593,Equipment,Working,Phone,Low,Equipment Complexity
CASE-000329,Issue #329,ACC-000483,CON-000407,Electrical,Closed,Web,Medium,Shipment Damaged
CASE-000330,Issue #330,ACC-000255,CON-001403,Shipping,Working,Email,High,Performance
CASE-000331,Issue #331,ACC-000048,CON-000358,Equipment,New,Web,Medium,Other
CASE-000332,Issue #332,ACC-000323,CON-000030,Equipment,Closed,Email,Medium,Bug
CASE-000333,Issue #333,ACC-000164,CON-001337,Billing,Closed,Web,Medium,Other
CASE-000334,Issue #334,ACC-000201,CON-000717,Billing,Closed,Email,Medium,Return
CASE-000335,Issue #335,ACC-000255,CON-001013,Billing,Working,Phone,Low,Other
CASE-000336,Issue #336,ACC-000400,CON-000243,Software,Working,Web,Low,Other
CASE-000337,Issue #337,ACC-000436,CON-000769,Electrical,Closed,Phone,Low,Performance
CASE-000338,Issue #338,ACC-000367,CON-001305,Equipment,Closed,Email,Medium,Performance
CASE-000339,Issue #339,ACC-000320,CON-000629,Installation,Closed,Email,High,Return
CASE-000340,Issue #340,ACC-000374,CON-000880,Equipment,Working,Phone,Low,Network Issue
CASE-000341,Issue #341,ACC-000159,CON-000881,Electrical,Working,Phone,Medium,Other
CASE-000342,Issue #342,ACC-000001,CON-000878,Electrical,New,Phone,Medium,Bug
CASE-000343,Issue #343,ACC-000020,CON-000935,Electrical,New,Email,Medium,Network Issue
CASE-000344,Issue #344,ACC-000375,CON-001016,Connectivity,Working,Email,Medium,Performance
CASE-000345,Issue #345,ACC-000499,CON-000726,Equipment,Working,Phone,Low,Equipment Complexity
CASE-000346,Issue #346,ACC-000359,CON-000645,Connectivity,New,Email,Medium,Network Issue
CASE-000347,Issue #347,ACC-000363,CON-000263,Billing,Closed,Email,High,Network Issue
CASE-000348,Issue #348,ACC-000269,CON-000847,Electrical,New,Phone,Low,Other
CASE-000349,Issue #349,ACC-000440,CON-000759,Connectivity,Working,Web,Medium,Bug
CASE-000350,Issue #350,ACC-000313,CON-001349,Electrical,Working,Phone,Medium,Bug
CASE-000351,Issue #351,ACC-000034,CON-000931,Connectivity,Closed,Phone,High,Shipment Damaged
CASE-000352,Issue #352,ACC-000286,CON-001377,Connectivity,Closed,Web,Medium,Return
CASE-000353,Issue #353,ACC-000403,CON-000827,Installation,Working,Phone,Low,Network Issue
CASE-000354,Issue #354,ACC-000426,CON-000866,Software,Closed,Email,Low,Equipment Complexity
CASE-000355,Issue #355,ACC-000417,CON-001492,Electrical,New,Phone,Medium,Network Issue
CASE-000356,Issue #356,ACC-000119,CON-000954,Equipment,Closed,Web,High,Performance
CASE-000357,Issue #357,ACC-000126,CON-000546,Connectivity,Closed,Email,Medium,Other
CASE-000358,Issue #358,ACC-000473,CON-000130,Billing,Closed,Web,Low,Performance
CASE-000359,Issue #359,ACC-000348,CON-000393,Shipping,Working,Phone,Low,Network Issue
CASE-000360,Issue #360,ACC-000394,CON-000776,Equipment,Working,Email,Low,Equipment Complexity
CASE-000361,Issue #361,ACC-000201,CON-000710,Software,Closed,Web,Low,Return
CASE-000362,Issue #362,ACC-000422,CON-001072,Billing,New,Web,Medium,Equipment Complexity
CASE-000363,Issue #363,ACC-000415,CON-001444,Installation,Closed,Email,Low,Other
CASE-000364,Issue #364,ACC-000340,CON-001046,Software,Working,Web,High,Performance
CASE-000365,Issue #365,ACC-000257,CON-000391,Installation,Working,Email,High,Equipment Complexity
CASE-000366,Issue #366,ACC-000005,CON-000561,Connectivity,Closed,Web,Low,Other
CASE-000367,Issue #367,ACC-000210,CON-000641,Connectivity,Closed,Email,Medium,Return
CASE-000368,Issue #368,ACC-000046,CON-000606,Installation,Closed,Email,Medium,Shipment Damaged
CASE-000369,Issue #369,ACC-000310,CON-000831,Software,New,Email,High,Equipment Complexity
CASE-000370,Issue #370,ACC-000392,CON-001141,Software,Working,Phone,Low,Performance
CASE-000371,Issue #371,ACC-000174,CON-001188,Shipping,Working,Phone,Medium,Return
CASE-000372,Issue #372,ACC-000014,CON-000182,Electrical,Closed,Email,Medium,Shipment Damaged
CASE-000373,Issue #373,ACC-000278,CON-001225,Software,Closed,Email,High,Return
CASE-000374,Issue #374,ACC-000475,CON-001402,Shipping,Closed,Phone,Medium,Performance
CASE-000375,Issue #375,ACC-000203,CON-001115,Electrical,Working,Web,Medium,Bug
CASE-000376,Issue #376,ACC-000362,CON-000629,Connectivity,Closed,Web,Low,Performance
CASE-000377,Issue #377,ACC-000383,CON-001445,Installation,Closed,Phone,Medium,Equipment Complexity
CASE-000378,Issue #378,ACC-000321,CON-000432,Shipping,Working,Web,Low,Equipment Complexity
CASE-000379,Issue #379,ACC-000073,CON-000925,Shipping,Working,Email,Medium,Return
CASE-000380,Issue #380,ACC-000200,CON-001025,Connectivity,Working,Phone,Medium,Shipment Damaged
CASE-000381,Issue #381,ACC-000481,CON-000084,Software,Closed,Email,Low,Equipment Complexity
CASE-000382,Issue #382,ACC-000140,CON-000692,Installation,Closed,Email,Low,Network Issue
CASE-000383,Issue #383,ACC-000081,CON-000019,Connectivity,New,Phone,Low,Equipment Complexity
CASE-000384,Issue #384,ACC-000238,CON-000027,Connectivity,Working,Phone,Medium,Performance
CASE-000385,Issue #385,ACC-000324,CON-000208,Software,Closed,Email,Low,Shipment Damaged
CASE-000386,Issue #386,ACC-000482,CON-001342,Billing,New,Phone,Low,Other
CASE-000387,Issue #387,ACC-000494,CON-000101,Electrical,Working,Email,Low,Network Issue
CASE-000388,Issue #388,ACC-000428,CON-000601,Billing,Working,Phone,High,Bug
CASE-000389,Issue #389,ACC-000197,CON-000460,Connectivity,Working,Email,Medium,Equipment Complexity
CASE-000390,Issue #390,ACC-000285,CON-000353,Connectivity,New,Email,Medium,Network Issue
CASE-000391,Issue #391,ACC-000114,CON-000324,Billing,New,Email,Medium,Other
CASE-000392,Issue #392,ACC-000305,CON-000453,Installation,Closed,Email,Medium,Equipment Complexity
CASE-000393,Issue #393,ACC-000383,CON-000107,Installation,Working,Email,Low,Shipment Damaged
CASE-000394,Issue #394,ACC-000370,CON-000690,Shipping,Closed,Phone,Medium,Performance
CASE-000395,Issue #395,ACC-000262,CON-001276,Electrical,Working,Phone,Low,Performance
CASE-000396,Issue #396,ACC-000253,CON-000543,Software,Closed,Phone,Low,Equipment Complexity
CASE-000397,Issue #397,ACC-000255,CON-001306,Shipping,Working,Phone,Medium,Bug
CASE-000398,Issue #398,ACC-000340,CON-000166,Connectivity,New,Email,Low,Return
CASE-000399,Issue #399,ACC-000253,CON-000624,Shipping,Closed,Email,High,Other
CASE-000400,Issue #400,ACC-000256,CON-001191,Shipping,Closed,Phone,Low,Equipment Complexity
CASE-000401,Issue #401,ACC-000095,CON-001060,Equipment,Closed,Phone,Medium,Other
CASE-000402,Issue #402,ACC-000067,CON-000877,Electrical,Closed,Email,Medium,Return
CASE-000403,Issue #403,ACC-000491,CON-000630,Electrical,New,Email,High,Network Issue
CASE-000404,Issue #404,ACC-000449,CON-001019,Installation,Working,Email,Medium,Network Issue
CASE-000405,Issue #405,ACC-000341,CON-001156,Software,Closed,Phone,High,Return
CASE-000406,Issue #406,ACC-000281,CON-000682,Equipment,New,Email,Medium,Network Issue
CASE-000407,Issue #407,ACC-000433,CON-001358,Equipment,Working,Web,High,Return
CASE-000408,Issue #408,ACC-000205,CON-001124,Shipping,New,Phone,Low,Network Issue
CASE-000409,Issue #409,ACC-000113,CON-000393,Software,Closed,Phone,Low,Network Issue
CASE-000410,Issue #410,ACC-000024,CON-000127,Software,Closed,Email,Medium,Shipment Damaged
CASE-000411,Issue #411,ACC-000395,CON-001138,Shipping,New,Phone,Low,Return
CASE-000412,Issue #412,ACC-000084,CON-000338,Connectivity,New,Phone,Medium,Shipment Damaged
CASE-000413,Issue #413,ACC-000455,CON-001034,Equipment,New,Web,High,Bug
CASE-000414,Issue #414,ACC-000168,CON-000297,Connectivity,Closed,Phone,Medium,Other
CASE-000415,Issue #415,ACC-000459,CON-000229,Software,Closed,Email,Low,Other
CASE-000416,Issue #416,ACC-000382,CON-000317,Equipment,Working,Email,High,Equipment Complexity
CASE-000417,Issue #417,ACC-000077,CON-000395,Installation,Working,Phone,High,Network Issue
CASE-000418,Issue #418,ACC-000256,CON-000228,Software,Working,Email,High,Return
CASE-000419,Issue #419,ACC-000026,CON-000015,Installation,Closed,Email,Low,Performance
CASE-000420,Issue #420,ACC-000287,CON-000201,Equipment,Working,Web,High,Other
CASE-000421,Issue #421,ACC-000384,CON-000813,Billing,Working,Email,High,Other
CASE-000422,Issue #422,ACC-000419,CON-000088,Shipping,New,Phone,Medium,Other
CASE-000423,Issue #423,ACC-000281,CON-001253,Electrical,New,Phone,Low,Return
CASE-000424,Issue #424,ACC-000229,CON-000087,Installation,Closed,Web,Low,Shipment Damaged
CASE-000425,Issue #425,ACC-000480,CON-000890,Shipping,Working,Web,Low,Equipment Complexity
CASE-000426,Issue #426,ACC-000282,CON-001021,Software,Closed,Web,Low,Return
CASE-000427,Issue #427,ACC-000019,CON-000004,Installation,New,Phone,Medium,Network Issue
CASE-000428,Issue #428,ACC-000495,CON-000554,Billing,Working,Web,Low,Return
CASE-000429,Issue #429,ACC-000496,CON-001249,Software,Closed,Phone,Low,Other
CASE-000430,Issue #430,ACC-000102,CON-000887,Installation,Closed,Phone,Medium,Other
CASE-000431,Issue #431,ACC-000298,CON-000631,Electrical,New,Email,Medium,Equipment Complexity
CASE-000432,Issue #432,ACC-000256,CON-000247,Software,Working,Phone,High,Network Issue
CASE-000433,Issue #433,ACC-000341,CON-000109,Software,Closed,Web,Medium,Bug
CASE-000434,Issue #434,ACC-000496,CON-000978,Billing,Closed,Web,Low,Performance
CASE-000435,Issue #435,ACC-000137,CON-000819,Shipping,Closed,Phone,Low,Performance
CASE-000436,Issue #436,ACC-000433,CON-000021,Billing,Working,Web,High,Network Issue
CASE-000437,Issue #437,ACC-000259,CON-000425,Billing,New,Email,Medium,Network Issue
CASE-000438,Issue #438,ACC-000294,CON-000030,Billing,Working,Web,Medium,Return
CASE-000439,Issue #439,ACC-000033,CON-000270,Electrical,Working,Phone,Medium,Other
CASE-000440,Issue #440,ACC-000487,CON-000924,Shipping,Closed,Email,Low,Network Issue
CASE-000441,Issue #441,ACC-000433,CON-000194,Shipping,New,Phone,Low,Network Issue
CASE-000442,Issue #442,ACC-000194,CON-000514,Billing,Closed,Phone,Low,Equipment Complexity
CASE-000443,Issue #443,ACC-000353,CON-000993,Software,New,Email,High,Equipment Complexity
CASE-000444,Issue #444,ACC-000393,CON-000928,Electrical,Closed,Web,High,Other
CASE-000445,Issue #445,ACC-000471,CON-000030,Equipment,Working,Web,Medium,Equipment Complexity
CASE-000446,Issue #446,ACC-000210,CON-000170,Electrical,Closed,Email,Low,Other
CASE-000447,Issue #447,ACC-000196,CON-000978,Installation,Closed,Email,Medium,Bug
CASE-000448,Issue #448,ACC-000240,CON-000880,Shipping,Working,Web,Low,Other
CASE-000449,Issue #449,ACC-000213,CON-000654,Electrical,New,Web,Low,Performance
CASE-000450,Issue #450,ACC-000058,CON-001014,Shipping,Closed,Phone,Medium,Network Issue
CASE-000451,Issue #451,ACC-000001,CON-001116,Software,Working,Web,Low,Shipment Damaged
CASE-000452,Issue #452,ACC-000249,CON-000666,Software,Working,Phone,Medium,Equipment Complexity
CASE-000453,Issue #453,ACC-000197,CON-001455,Equipment,Closed,Phone,Low,Equipment Complexity
CASE-000454,Issue #454,ACC-000270,CON-001155,Electrical,Closed,Phone,Medium,Equipment Complexity
CASE-000455,Issue #455,ACC-000377,CON-001406,Shipping,Closed,Email,Medium,Network Issue
CASE-000456,Issue #456,ACC-000344,CON-000690,Software,Working,Email,Low,Return
CASE-000457,Issue #457,ACC-000395,CON-000717,Electrical,Closed,Phone,High,Network Issue
CASE-000458,Issue #458,ACC-000239,CON-000944,Connectivity,Working,Web,Low,Bug
CASE-000459,Issue #459,ACC-000423,CON-001009,Shipping,New,Phone,Medium,Return
CASE-000460,Issue #460,ACC-000171,CON-000928,Billing,Closed,Phone,Medium,Equipment Complexity
CASE-000461,Issue #461,ACC-000479,CON-000054,Installation,Working,Web,High,Return
CASE-000462,Issue #462,ACC-000050,CON-001311,Shipping,New,Phone,Low,Other
CASE-000463,Issue #463,ACC-000389,CON-000163,Shipping,Working,Phone,Low,Performance
CASE-000464,Issue #464,ACC-000500,CON-000124,Billing,New,Email,Medium,Bug
CASE-000465,Issue #465,ACC-000162,CON-000162,Connectivity,New,Web,Medium,Return
CASE-000466,Issue #466,ACC-000056,CON-000514,Shipping,New,Web,Low,Bug
CASE-000467,Issue #467,ACC-000397,CON-000255,Software,Working,Email,Medium,Network Issue
CASE-000468,Issue #468,ACC-000397,CON-000418,Shipping,Closed,Phone,Medium,Performance
CASE-000469,Issue #469,ACC-000033,CON-000989,Billing,New,Email,High,Equipment Complexity
CASE-000470,Issue #470,ACC-000143,CON-000264,Connectivity,New,Phone,Medium,Return
CASE-000471,Issue #471,ACC-000145,CON-000825,Electrical,Working,Phone,Medium,Bug
CASE-000472,Issue #472,ACC-000214,CON-000176,Software,New,Web,Low,Equipment Complexity
CASE-000473,Issue #473,ACC-000347,CON-000088,Equipment,Working,Web,High,Return
CASE-000474,Issue #474,ACC-000164,CON-000511,Equipment,Closed,Phone,Medium,Equipment Complexity
CASE-000475,Issue #475,ACC-000376,CON-000755,Billing,Working,Phone,Low,Network Issue
CASE-000476,Issue #476,ACC-000250,CON-000579,Connectivity,Working,Email,High,Performance
CASE-000477,Issue #477,ACC-000345,CON-001367,Installation,New,Email,Medium,Bug
CASE-000478,Issue #478,ACC-000305,CON-001321,Installation,Closed,Phone,High,Equipment Complexity
CASE-000479,Issue #479,ACC-000086,CON-000625,Installation,New,Email,Low,Shipment Damaged
CASE-000480,Issue #480,ACC-000463,CON-000864,Equipment,Working,Phone,High,Equipment Complexity
CASE-000481,Issue #481,ACC-000418,CON-000991,Software,New,Phone,Medium,Return
CASE-000482,Issue #482,ACC-000082,CON-000933,Billing,New,Email,Low,Equipment Complexity
CASE-000483,Issue #483,ACC-000368,CON-000661,Equipment,New,Phone,High,Bug
CASE-000484,Issue #484,ACC-000190,CON-000856,Shipping,New,Email,Low,Equipment Complexity
CASE-000485,Issue #485,ACC-000073,CON-001008,Equipment,New,Web,Low,Return
CASE-000486,Issue #486,ACC-000233,CON-000691,Shipping,Closed,Email,Medium,Network Issue
CASE-000487,Issue #487,ACC-000147,CON-000621,Billing,Working,Email,High,Network Issue
CASE-000488,Issue #488,ACC-000489,CON-001414,Electrical,New,Email,Medium,Other
CASE-000489,Issue #489,ACC-000346,CON-000612,Shipping,Closed,Email,Medium,Equipment Complexity
CASE-000490,Issue #490,ACC-000070,CON-000239,Installation,Working,Web,Medium,Performance
CASE-000491,Issue #491,ACC-000120,CON-000583,Software,Closed,Email,Low,Equipment Complexity
CASE-000492,Issue #492,ACC-000260,CON-000234,Connectivity,Closed,Email,Medium,Equipment Complexity
CASE-000493,Issue #493,ACC-000191,CON-000139,Electrical,New,Phone,High,Performance
CASE-000494,Issue #494,ACC-000271,CON-000219,Equipment,Working,Phone,Medium,Shipment Damaged
CASE-000495,Issue #495,ACC-000188,CON-001146,Billing,Closed,Web,Medium,Equipment Complexity
CASE-000496,Issue #496,ACC-000462,CON-000371,Installation,Closed,Web,High,Equipment Complexity
CASE-000497,Issue #497,ACC-000368,CON-000081,Connectivity,Closed,Web,High,Shipment Damaged
CASE-000498,Issue #498,ACC-000088,CON-001357,Software,Closed,Phone,High,Equipment Complexity
CASE-000499,Issue #499,ACC-000354,CON-000379,Installation,New,Web,High,Equipment Complexity
CASE-000500,Issue #500,ACC-000131,CON-000586,Installation,New,Web,Low,Performance
CASE-000501,Issue #501,ACC-000485,CON-001451,Software,Working,Phone,Medium,Shipment Damaged
CASE-000502,Issue #502,ACC-000292,CON-000441,Shipping,New,Web,Low,Other
CASE-000503,Issue #503,ACC-000118,CON-001315,Shipping,Working,Phone,High,Performance
CASE-000504,Issue #504,ACC-000287,CON-000698,Software,Working,Phone,Low,Other
CASE-000505,Issue #505,ACC-000418,CON-001032,Billing,Closed,Email,High,Return
CASE-000506,Issue #506,ACC-000018,CON-000452,Shipping,New,Email,Low,Shipment Damaged
CASE-000507,Issue #507,ACC-000210,CON-000748,Electrical,Closed,Phone,Low,Bug
CASE-000508,Issue #508,ACC-000287,CON-000270,Software,Closed,Email,Medium,Performance
CASE-000509,Issue #509,ACC-000057,CON-000501,Connectivity,Working,Web,Low,Other
CASE-000510,Issue #510,ACC-000269,CON-000785,Shipping,Closed,Phone,Medium,Shipment Damaged
CASE-000511,Issue #511,ACC-000119,CON-000216,Software,Closed,Web,Medium,Bug
CASE-000512,Issue #512,ACC-000108,CON-000257,Billing,Closed,Web,Low,Network Issue
CASE-000513,Issue #513,ACC-000060,CON-000048,Connectivity,Working,Web,Medium,Performance
CASE-000514,Issue #514,ACC-000253,CON-001031,Billing,New,Email,Low,Network Issue
CASE-000515,Issue #515,ACC-000438,CON-000294,Billing,Working,Web,Low,Equipment Complexity
CASE-000516,Issue #516,ACC-000389,CON-001268,Billing,Closed,Email,High,Network Issue
CASE-000517,Issue #517,ACC-000419,CON-000911,Connectivity,Closed,Web,Low,Equipment Complexity
CASE-000518,Issue #518,ACC-000216,CON-000025,Electrical,Closed,Web,Medium,Shipment Damaged
CASE-000519,Issue #519,ACC-000360,CON-000745,Software,Closed,Email,Low,Return
CASE-000520,Issue #520,ACC-000381,CON-001291,Shipping,New,Phone,Medium,Other
CASE-000521,Issue #521,ACC-000295,CON-000008,Equipment,New,Email,High,Return
CASE-000522,Issue #522,ACC-000154,CON-000318,Installation,Working,Web,High,Equipment Complexity
CASE-000523,Issue #523,ACC-000479,CON-000893,Electrical,Closed,Phone,Low,Bug
CASE-000524,Issue #524,ACC-000236,CON-000836,Equipment,New,Web,Medium,Shipment Damaged
CASE-000525,Issue #525,ACC-000334,CON-000695,Connectivity,New,Email,Low,Bug
CASE-000526,Issue #526,ACC-000169,CON-001412,Connectivity,Closed,Web,Low,Bug
CASE-000527,Issue #527,ACC-000405,CON-001330,Connectivity,Closed,Email,Low,Equipment Complexity
CASE-000528,Issue #528,ACC-000357,CON-000059,Equipment,New,Email,Medium,Equipment Complexity
CASE-000529,Issue #529,ACC-000355,CON-001360,Billing,Closed,Phone,Medium,Bug
CASE-000530,Issue #530,ACC-000276,CON-000915,Connectivity,New,Email,Medium,Network Issue
CASE-000531,Issue #531,ACC-000472,CON-000326,Equipment,Closed,Email,Medium,Return
CASE-000532,Issue #532,ACC-000351,CON-000544,Installation,Closed,Phone,High,Return
CASE-000533,Issue #533,ACC-000411,CON-000654,Connectivity,Closed,Web,High,Performance
CASE-000534,Issue #534,ACC-000400,CON-000913,Software,New,Email,Low,Other
CASE-000535,Issue #535,ACC-000056,CON-001316,Shipping,New,Email,Low,Other
CASE-000536,Issue #536,ACC-000479,CON-001264,Software,Working,Phone,Medium,Performance
CASE-000537,Issue #537,ACC-000085,CON-000959,Installation,Working,Web,High,Equipment Complexity
CASE-000538,Issue #538,ACC-000194,CON-000632,Equipment,Working,Web,Low,Return
CASE-000539,Issue #539,ACC-000368,CON-000077,Connectivity,New,Phone,Low,Return
CASE-000540,Issue #540,ACC-000036,CON-000230,Shipping,New,Phone,High,Bug
CASE-000541,Issue #541,ACC-000243,CON-001040,Connectivity,Working,Phone,Medium,Other
CASE-000542,Issue #542,ACC-000365,CON-001435,Software,Closed,Web,Low,Shipment Damaged
CASE-000543,Issue #543,ACC-000154,CON-000497,Electrical,New,Email,Low,Performance
CASE-000544,Issue #544,ACC-000205,CON-000819,Shipping,Closed,Phone,Low,Network Issue
CASE-000545,Issue #545,ACC-000044,CON-001026,Billing,New,Phone,Medium,Performance
CASE-000546,Issue #546,ACC-000179,CON-000744,Installation,Closed,Email,Low,Performance
CASE-000547,Issue #547,ACC-000407,CON-000934,Connectivity,Closed,Web,Low,Network Issue
CASE-000548,Issue #548,ACC-000399,CON-000319,Electrical,Working,Web,Low,Equipment Complexity
CASE-000549,Issue #549,ACC-000451,CON-001439,Shipping,Working,Phone,Medium,Equipment Complexity
CASE-000550,Issue #550,ACC-000274,CON-000741,Electrical,New,Web,High,Performance
CASE-000551,Issue #551,ACC-000163,CON-000519,Equipment,Working,Web,Medium,Bug
CASE-000552,Issue #552,ACC-000383,CON-001414,Electrical,New,Phone,Low,Shipment Damaged
CASE-000553,Issue #553,ACC-000349,CON-000627,Equipment,Working,Phone,Low,Other
CASE-000554,Issue #554,ACC-000258,CON-000640,Equipment,New,Web,Low,Shipment Damaged
CASE-000555,Issue #555,ACC-000497,CON-001348,Equipment,Closed,Web,Low,Shipment Damaged
CASE-000556,Issue #556,ACC-000486,CON-001080,Connectivity,Working,Email,High,Equipment Complexity
CASE-000557,Issue #557,ACC-000019,CON-001296,Installation,Working,Phone,Medium,Bug
CASE-000558,Issue #558,ACC-000275,CON-000516,Connectivity,Working,Phone,Low,Shipment Damaged
CASE-000559,Issue #559,ACC-000276,CON-000339,Software,Closed,Email,High,Equipment Complexity
CASE-000560,Issue #560,ACC-000389,CON-000332,Billing,Closed,Phone,Medium,Shipment Damaged
CASE-000561,Issue #561,ACC-000133,CON-000741,Connectivity,Closed,Phone,High,Bug
CASE-000562,Issue #562,ACC-000366,CON-001385,Connectivity,Working,Email,High,Equipment Complexity
CASE-000563,Issue #563,ACC-000042,CON-000543,Shipping,Closed,Email,High,Performance
CASE-000564,Issue #564,ACC-000322,CON-001101,Electrical,Working,Web,Medium,Shipment Damaged
CASE-000565,Issue #565,ACC-000182,CON-000399,Software,Closed,Phone,High,Other
CASE-000566,Issue #566,ACC-000481,CON-000242,Shipping,New,Web,Medium,Other
CASE-000567,Issue #567,ACC-000384,CON-000739,Software,Closed,Web,Low,Performance
CASE-000568,Issue #568,ACC-000278,CON-000754,Connectivity,Working,Web,Medium,Network Issue
CASE-000569,Issue #569,ACC-000009,CON-000733,Installation,New,Email,Low,Network Issue
CASE-000570,Issue #570,ACC-000417,CON-000405,Shipping,Closed,Web,Medium,Bug
CASE-000571,Issue #571,ACC-000083,CON-000805,Electrical,Closed,Phone,High,Equipment Complexity
CASE-000572,Issue #572,ACC-000140,CON-001439,Installation,Working,Web,Medium,Other
CASE-000573,Issue #573,ACC-000024,CON-000211,Equipment,Working,Email,Medium,Network Issue
CASE-000574,Issue #574,ACC-000039,CON-000756,Equipment,Closed,Phone,Medium,Network Issue
CASE-000575,Issue #575,ACC-000206,CON-000059,Equipment,Working,Web,Medium,Equipment Complexity
CASE-000576,Issue #576,ACC-000481,CON-001282,Connectivity,Closed,Email,Medium,Equipment Complexity
CASE-000577,Issue #577,ACC-000443,CON-000802,Billing,Working,Phone,High,Bug
CASE-000578,Issue #578,ACC-000185,CON-000839,Installation,Working,Phone,Low,Equipment Complexity
CASE-000579,Issue #579,ACC-000294,CON-000708,Shipping,Closed,Phone,Medium,Network Issue
CASE-000580,Issue #580,ACC-000275,CON-000338,Software,Closed,Phone,High,Return
CASE-000581,Issue #581,ACC-000201,CON-000751,Software,Working,Email,Low,Equipment Complexity
CASE-000582,Issue #582,ACC-000281,CON-001174,Installation,Working,Phone,Medium,Shipment Damaged
CASE-000583,Issue #583,ACC-000271,CON-001435,Electrical,Closed,Web,Medium,Performance
CASE-000584,Issue #584,ACC-000085,CON-000291,Connectivity,Working,Web,Medium,Performance
CASE-000585,Issue #585,ACC-000466,CON-001482,Billing,New,Email,High,Bug
CASE-000586,Issue #586,ACC-000217,CON-000124,Electrical,Closed,Web,Medium,Network Issue
CASE-000587,Issue #587,ACC-000021,CON-001225,Shipping,Working,Web,High,Other
CASE-000588,Issue #588,ACC-000449,CON-001230,Software,Closed,Email,Low,Network Issue
CASE-000589,Issue #589,ACC-000486,CON-001172,Software,New,Phone,Medium,Return
CASE-000590,Issue #590,ACC-000104,CON-000844,Software,Closed,Web,Medium,Return
CASE-000591,Issue #591,ACC-000002,CON-000234,Billing,Closed,Web,Low,Return
CASE-000592,Issue #592,ACC-000430,CON-000611,Billing,Working,Phone,Low,Network Issue
CASE-000593,Issue #593,ACC-000404,CON-001424,Electrical,Closed,Web,Low,Other
CASE-000594,Issue #594,ACC-000229,CON-000329,Electrical,New,Web,Low,Network Issue
CASE-000595,Issue #595,ACC-000121,CON-001104,Electrical,Working,Email,Low,Other
CASE-000596,Issue #596,ACC-000301,CON-000690,Shipping,New,Phone,Medium,Equipment Complexity
CASE-000597,Issue #597,ACC-000464,CON-000683,Installation,Working,Web,Medium,Network Issue
CASE-000598,Issue #598,ACC-000045,CON-000978,Connectivity,New,Phone,Medium,Network Issue
CASE-000599,Issue #599,ACC-000291,CON-000352,Electrical,New,Web,Low,Network Issue
CASE-000600,Issue #600,ACC-000251,CON-000047,Installation,Working,Web,Medium,Equipment Complexity
CASE-000601,Issue #601,ACC-000288,CON-000854,Installation,Working,Email,Low,Bug
CASE-000602,Issue #602,ACC-000434,CON-000947,Connectivity,Closed,Phone,Low,Performance
CASE-000603,Issue #603,ACC-000485,CON-000434,Electrical,Closed,Email,Medium,Return
CASE-000604,Issue #604,ACC-000493,CON-000427,Equipment,New,Web,Low,Equipment Complexity
CASE-000605,Issue #605,ACC-000237,CON-001120,Equipment,Closed,Phone,Medium,Shipment Damaged
CASE-000606,Issue #606,ACC-000228,CON-001035,Connectivity,Closed,Web,Low,Return
CASE-000607,Issue #607,ACC-000081,CON-000894,Equipment,Closed,Web,Medium,Network Issue
CASE-000608,Issue #608,ACC-000079,CON-000059,Shipping,Closed,Email,Low,Return
